spec_name,order,seasonal_order,exog_cols,fold,val_start_idx,val_end_idx,n_obs,rmse,rmse_sd
NO2_fit_1,"(3, 1, 2)","(1, 1, 1, 24)",[],1,8208.0,8303.0,96.0,4.716529027841628,
NO2_fit_1,"(3, 1, 2)","(1, 1, 1, 24)",[],2,8304.0,8399.0,96.0,4.1204303422074355,
NO2_fit_1,"(3, 1, 2)","(1, 1, 1, 24)",[],3,8400.0,8495.0,96.0,5.451515275191417,
NO2_fit_1,"(3, 1, 2)","(1, 1, 1, 24)",[],4,8496.0,8591.0,96.0,3.6586504813023404,
NO2_fit_1,"(3, 1, 2)","(1, 1, 1, 24)",[],5,8592.0,8687.0,96.0,3.109002683858595,
NO2_fit_2,"(3, 1, 1)","(1, 1, 1, 24)",['wind_speed'],1,8208.0,8303.0,96.0,3.89905367322217,
NO2_fit_2,"(3, 1, 1)","(1, 1, 1, 24)",['wind_speed'],2,8304.0,8399.0,96.0,3.5753194432394064,
NO2_fit_2,"(3, 1, 1)","(1, 1, 1, 24)",['wind_speed'],3,8400.0,8495.0,96.0,4.463038285390454,
NO2_fit_2,"(3, 1, 1)","(1, 1, 1, 24)",['wind_speed'],4,8496.0,8591.0,96.0,3.349752935838208,
NO2_fit_2,"(3, 1, 1)","(1, 1, 1, 24)",['wind_speed'],5,8592.0,8687.0,96.0,2.9637790459811577,
NO2_fit_3,"(3, 1, 1)","(1, 1, 1, 24)",['temperature'],1,8208.0,8303.0,96.0,4.438974871400329,
NO2_fit_3,"(3, 1, 1)","(1, 1, 1, 24)",['temperature'],2,8304.0,8399.0,96.0,3.832765651855576,
NO2_fit_3,"(3, 1, 1)","(1, 1, 1, 24)",['temperature'],3,8400.0,8495.0,96.0,4.952182346128707,
NO2_fit_3,"(3, 1, 1)","(1, 1, 1, 24)",['temperature'],4,8496.0,8591.0,96.0,3.5889627824581845,
NO2_fit_3,"(3, 1, 1)","(1, 1, 1, 24)",['temperature'],5,8592.0,8687.0,96.0,2.99108714759793,
NO2_fit_4,"(3, 1, 1)","(1, 1, 1, 24)","['temperature', 'wind_speed']",1,8208.0,8303.0,96.0,4.378365467338886,
NO2_fit_4,"(3, 1, 1)","(1, 1, 1, 24)","['temperature', 'wind_speed']",2,8304.0,8399.0,96.0,3.77491604407714,
NO2_fit_4,"(3, 1, 1)","(1, 1, 1, 24)","['temperature', 'wind_speed']",3,8400.0,8495.0,96.0,4.80521437504318,
NO2_fit_4,"(3, 1, 1)","(1, 1, 1, 24)","['temperature', 'wind_speed']",4,8496.0,8591.0,96.0,3.5048319100658425,
NO2_fit_4,"(3, 1, 1)","(1, 1, 1, 24)","['temperature', 'wind_speed']",5,8592.0,8687.0,96.0,2.8840380691438696,
NO2_fit_5,"(3, 1, 1)","(1, 1, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",1,8208.0,8303.0,96.0,4.230906503741318,
NO2_fit_5,"(3, 1, 1)","(1, 1, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",2,8304.0,8399.0,96.0,3.7118902516516905,
NO2_fit_5,"(3, 1, 1)","(1, 1, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",3,8400.0,8495.0,96.0,4.656473351907998,
NO2_fit_5,"(3, 1, 1)","(1, 1, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",4,8496.0,8591.0,96.0,3.4611650556049174,
NO2_fit_5,"(3, 1, 1)","(1, 1, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",5,8592.0,8687.0,96.0,2.891024599726736,
NO2_fit_1,"(3, 1, 2)","(1, 1, 1, 24)",,MEAN,,,,4.211225562080283,0.8151231109573003
NO2_fit_2,"(3, 1, 1)","(1, 1, 1, 24)",,MEAN,,,,3.6501886767342797,0.5078746873967894
NO2_fit_3,"(3, 1, 1)","(1, 1, 1, 24)",,MEAN,,,,3.960794559888145,0.6791890591689727
NO2_fit_4,"(3, 1, 1)","(1, 1, 1, 24)",,MEAN,,,,3.869473173133784,0.6704579941525054
NO2_fit_5,"(3, 1, 1)","(1, 1, 1, 24)",,MEAN,,,,3.7902919525265326,0.611157019458259
