spec_name,order,seasonal_order,exog_cols,fold,val_start_idx,val_end_idx,n_obs,rmse,rmse_sd
O3_fit_1,"(2, 1, 2)","(1, 1, 1, 24)",[],1,8208.0,8303.0,96.0,11.911125276775811,
O3_fit_1,"(2, 1, 2)","(1, 1, 1, 24)",[],2,8304.0,8399.0,96.0,14.160193429263737,
O3_fit_1,"(2, 1, 2)","(1, 1, 1, 24)",[],3,8400.0,8495.0,96.0,15.893008929301299,
O3_fit_1,"(2, 1, 2)","(1, 1, 1, 24)",[],4,8496.0,8591.0,96.0,13.859512840228508,
O3_fit_1,"(2, 1, 2)","(1, 1, 1, 24)",[],5,8592.0,8687.0,96.0,13.288514314656956,
O3_fit_2,"(2, 1, 2)","(1, 1, 1, 24)",['wind_speed'],1,8208.0,8303.0,96.0,11.455699038160327,
O3_fit_2,"(2, 1, 2)","(1, 1, 1, 24)",['wind_speed'],2,8304.0,8399.0,96.0,13.638927833126376,
O3_fit_2,"(2, 1, 2)","(1, 1, 1, 24)",['wind_speed'],3,8400.0,8495.0,96.0,15.104643635398201,
O3_fit_2,"(2, 1, 2)","(1, 1, 1, 24)",['wind_speed'],4,8496.0,8591.0,96.0,13.359853766784484,
O3_fit_2,"(2, 1, 2)","(1, 1, 1, 24)",['wind_speed'],5,8592.0,8687.0,96.0,12.782315182407164,
O3_fit_3,"(2, 1, 2)","(1, 1, 1, 24)",['temperature'],1,8208.0,8303.0,96.0,13.68940761496856,
O3_fit_3,"(2, 1, 2)","(1, 1, 1, 24)",['temperature'],2,8304.0,8399.0,96.0,14.431972327252176,
O3_fit_3,"(2, 1, 2)","(1, 1, 1, 24)",['temperature'],3,8400.0,8495.0,96.0,17.287294664993,
O3_fit_3,"(2, 1, 2)","(1, 1, 1, 24)",['temperature'],4,8496.0,8591.0,96.0,14.611850076331292,
O3_fit_3,"(2, 1, 2)","(1, 1, 1, 24)",['temperature'],5,8592.0,8687.0,96.0,12.973487068881344,
O3_fit_4,"(2, 1, 2)","(1, 1, 1, 24)","['temperature', 'wind_speed']",1,8208.0,8303.0,96.0,13.26246996737933,
O3_fit_4,"(2, 1, 2)","(1, 1, 1, 24)","['temperature', 'wind_speed']",2,8304.0,8399.0,96.0,14.029402225533566,
O3_fit_4,"(2, 1, 2)","(1, 1, 1, 24)","['temperature', 'wind_speed']",3,8400.0,8495.0,96.0,16.548526064892005,
O3_fit_4,"(2, 1, 2)","(1, 1, 1, 24)","['temperature', 'wind_speed']",4,8496.0,8591.0,96.0,14.210230949001108,
O3_fit_4,"(2, 1, 2)","(1, 1, 1, 24)","['temperature', 'wind_speed']",5,8592.0,8687.0,96.0,12.592902527303028,
O3_fit_5,"(2, 1, 2)","(1, 1, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",1,8208.0,8303.0,96.0,12.179088836584066,
O3_fit_5,"(2, 1, 2)","(1, 1, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",2,8304.0,8399.0,96.0,13.756626418247997,
O3_fit_5,"(2, 1, 2)","(1, 1, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",3,8400.0,8495.0,96.0,15.322246108576095,
O3_fit_5,"(2, 1, 2)","(1, 1, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",4,8496.0,8591.0,96.0,13.685893352142035,
O3_fit_5,"(2, 1, 2)","(1, 1, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",5,8592.0,8687.0,96.0,12.535385990787931,
O3_fit_1,"(2, 1, 2)","(1, 1, 1, 24)",,MEAN,,,,13.822470958045262,1.291581051993296
O3_fit_2,"(2, 1, 2)","(1, 1, 1, 24)",,MEAN,,,,13.26828789117531,1.1865587654412733
O3_fit_3,"(2, 1, 2)","(1, 1, 1, 24)",,MEAN,,,,14.598802350485276,1.4645574058103417
O3_fit_4,"(2, 1, 2)","(1, 1, 1, 24)",,MEAN,,,,14.12870634682181,1.3402308662573579
O3_fit_5,"(2, 1, 2)","(1, 1, 1, 24)",,MEAN,,,,13.495848141267624,1.1041915264920728
