spec_name,order,seasonal_order,exog_cols,fold,val_start_idx,val_end_idx,n_obs,rmse,rmse_sd
PM2.5_fit_1,"(2, 1, 3)","(1, 0, 1, 24)",[],1,8208.0,8303.0,96.0,6.267744337227906,
PM2.5_fit_1,"(2, 1, 3)","(1, 0, 1, 24)",[],2,8304.0,8399.0,96.0,5.7774786195026095,
PM2.5_fit_1,"(2, 1, 3)","(1, 0, 1, 24)",[],3,8400.0,8495.0,96.0,6.524713979389261,
PM2.5_fit_1,"(2, 1, 3)","(1, 0, 1, 24)",[],4,8496.0,8591.0,96.0,6.472675341456305,
PM2.5_fit_1,"(2, 1, 3)","(1, 0, 1, 24)",[],5,8592.0,8687.0,96.0,3.0528959907227553,
PM2.5_fit_2,"(2, 1, 2)","(1, 0, 1, 24)",['temperature'],1,8208.0,8303.0,96.0,6.284624503152804,
PM2.5_fit_2,"(2, 1, 2)","(1, 0, 1, 24)",['temperature'],2,8304.0,8399.0,96.0,5.776585329434657,
PM2.5_fit_2,"(2, 1, 2)","(1, 0, 1, 24)",['temperature'],3,8400.0,8495.0,96.0,6.50664780908701,
PM2.5_fit_2,"(2, 1, 2)","(1, 0, 1, 24)",['temperature'],4,8496.0,8591.0,96.0,6.468955072186278,
PM2.5_fit_2,"(2, 1, 2)","(1, 0, 1, 24)",['temperature'],5,8592.0,8687.0,96.0,3.060742526796286,
PM2.5_fit_3,"(2, 1, 2)","(1, 0, 1, 24)","['humidity', 'temperature']",1,8208.0,8303.0,96.0,6.212271497184593,
PM2.5_fit_3,"(2, 1, 2)","(1, 0, 1, 24)","['humidity', 'temperature']",2,8304.0,8399.0,96.0,5.743029049283326,
PM2.5_fit_3,"(2, 1, 2)","(1, 0, 1, 24)","['humidity', 'temperature']",3,8400.0,8495.0,96.0,6.382439886218224,
PM2.5_fit_3,"(2, 1, 2)","(1, 0, 1, 24)","['humidity', 'temperature']",4,8496.0,8591.0,96.0,6.372841741323024,
PM2.5_fit_3,"(2, 1, 2)","(1, 0, 1, 24)","['humidity', 'temperature']",5,8592.0,8687.0,96.0,3.0532912548288507,
PM2.5_fit_4,"(3, 1, 1)","(0, 0, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",1,8208.0,8303.0,96.0,6.159765842262656,
PM2.5_fit_4,"(3, 1, 1)","(0, 0, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",2,8304.0,8399.0,96.0,5.715922123946182,
PM2.5_fit_4,"(3, 1, 1)","(0, 0, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",3,8400.0,8495.0,96.0,6.2898372579396895,
PM2.5_fit_4,"(3, 1, 1)","(0, 0, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",4,8496.0,8591.0,96.0,6.319782473779784,
PM2.5_fit_4,"(3, 1, 1)","(0, 0, 1, 24)","['humidity', 'solar_radiation', 'temperature', 'wind_speed']",5,8592.0,8687.0,96.0,3.03857267641924,
PM2.5_fit_1,"(2, 1, 3)","(1, 0, 1, 24)",,MEAN,,,,5.619101653659768,1.3099583064935931
PM2.5_fit_2,"(2, 1, 2)","(1, 0, 1, 24)",,MEAN,,,,5.619511048131407,1.3055965200868362
PM2.5_fit_3,"(2, 1, 2)","(1, 0, 1, 24)",,MEAN,,,,5.552774685767604,1.2711730416500668
PM2.5_fit_4,"(3, 1, 1)","(0, 0, 1, 24)",,MEAN,,,,5.50477607486951,1.2519033463799287
