spec_name,order,seasonal_order,exog_cols,fold,val_start_idx,val_end_idx,n_obs,rmse,rmse_sd
PM2.5_fit_1,"(2, 1, 3)","(1, 0, 1, 24)",[],1,8208.0,8303.0,96.0,6.267744337227906,
PM2.5_fit_1,"(2, 1, 3)","(1, 0, 1, 24)",[],2,8304.0,8399.0,96.0,5.7774786195026095,
PM2.5_fit_1,"(2, 1, 3)","(1, 0, 1, 24)",[],3,8400.0,8495.0,96.0,6.524713979389261,
PM2.5_fit_1,"(2, 1, 3)","(1, 0, 1, 24)",[],4,8496.0,8591.0,96.0,6.472675341456305,
PM2.5_fit_1,"(2, 1, 3)","(1, 0, 1, 24)",[],5,8592.0,8687.0,96.0,3.0528959907227553,
PM2.5_fit_2,"(2, 1, 2)","(1, 0, 1, 24)",['temperature'],1,8208.0,8303.0,96.0,6.284624503152804,
PM2.5_fit_2,"(2, 1, 2)","(1, 0, 1, 24)",['temperature'],2,8304.0,8399.0,96.0,5.776585329434657,
PM2.5_fit_2,"(2, 1, 2)","(1, 0, 1, 24)",['temperature'],3,8400.0,8495.0,96.0,6.50664780908701,
PM2.5_fit_2,"(2, 1, 2)","(1, 0, 1, 24)",['temperature'],4,8496.0,8591.0,96.0,6.468955072186278,
PM2.5_fit_2,"(2, 1, 2)","(1, 0, 1, 24)",['temperature'],5,8592.0,8687.0,96.0,3.060742526796286,
PM2.5_fit_1,"(2, 1, 3)","(1, 0, 1, 24)",,MEAN,,,,5.619101653659768,1.3099583064935931
PM2.5_fit_2,"(2, 1, 2)","(1, 0, 1, 24)",,MEAN,,,,5.619511048131407,1.3055965200868362
