NO2,O3,PM10,PM2.5,wind_speed,temperature,solar_radiation,humidity
3.4,90.0,3.8,2.9,4.52,8.3,0.0,86
3.1,91.0,3.2,2.6,4.51,7.9,0.0,87
2.5,95.0,3.0,2.1,4.4,7.8,0.0,86
2.7,92.0,3.1,2.0,4.44,7.8,0.0,91
2.6,87.0,3.4,2.6,4.7,7.8,0.0,89
2.9,80.0,4.3,3.3,4.87,7.6,0.0,89
3.3,70.0,5.9,4.3,4.69,7.1,0.0,90
4.5,73.0,7.0,4.9,4.72,7.1,17.0,90
5.3,77.0,7.3,4.8,4.91,7.9,102.0,88
4.9,79.0,6.5,4.2,4.58,8.9,196.0,84
4.3,81.0,5.6,3.6,4.69,9.6,241.0,80
3.7,79.0,5.0,3.5,4.64,9.6,183.0,81
3.5,75.0,5.1,3.5,5.24,10.4,243.0,76
3.4,78.0,5.0,3.5,5.43,11.5,384.0,70
3.6,82.0,5.0,3.2,5.05,12.1,424.0,65
4.1,80.0,5.0,3.0,4.46,10.1,222.0,76
4.6,80.0,5.1,3.3,4.19,10.1,155.0,76
4.6,87.0,4.9,3.2,4.31,10.0,113.0,76
4.8,87.0,5.2,3.4,4.65,10.4,195.0,74
4.3,81.0,5.2,3.1,4.57,10.0,167.0,76
3.8,83.0,5.1,3.3,4.96,9.3,48.0,80
3.7,83.0,4.9,3.0,5.15,8.5,4.0,82
3.5,79.0,5.0,3.3,5.04,7.8,0.0,85
3.4,78.0,5.6,3.4,4.55,6.8,0.0,90
3.1,75.0,5.8,3.6,4.62,6.7,0.0,91
2.8,78.0,6.0,3.8,4.33,6.4,0.0,92
2.9,80.0,6.1,3.8,4.04,6.2,0.0,92
3.0,74.0,6.3,3.8,3.86,6.4,0.0,95
3.3,69.0,6.3,3.9,3.93,6.2,0.0,95
3.4,66.0,6.4,4.1,2.96,6.3,0.0,94
3.8,63.0,6.5,4.1,3.39,6.5,0.0,93
4.4,69.0,6.9,4.6,3.38,6.4,9.0,96
5.1,68.0,7.6,4.4,3.26,6.8,29.0,96
