,unique_id,ds,NHITS
0,PM10,2026-04-15 00:00:00,13.113796
1,PM10,2026-04-15 01:00:00,13.122616
2,PM10,2026-04-15 02:00:00,13.125414
3,PM10,2026-04-15 03:00:00,13.141226
4,PM10,2026-04-15 04:00:00,13.183347
5,PM10,2026-04-15 05:00:00,13.244107
6,PM10,2026-04-15 06:00:00,13.275703
7,PM10,2026-04-15 07:00:00,13.290234
8,PM10,2026-04-15 08:00:00,13.314262
9,PM10,2026-04-15 09:00:00,13.350108
10,PM10,2026-04-15 10:00:00,13.2628765
11,PM10,2026-04-15 11:00:00,13.096042
12,PM10,2026-04-15 12:00:00,12.929033
13,PM10,2026-04-15 13:00:00,12.779097
14,PM10,2026-04-15 14:00:00,12.623473
15,PM10,2026-04-15 15:00:00,12.454891
16,PM10,2026-04-15 16:00:00,12.2706585
17,PM10,2026-04-15 17:00:00,12.08407
18,PM10,2026-04-15 18:00:00,12.115382
19,PM10,2026-04-15 19:00:00,12.3631115
20,PM10,2026-04-15 20:00:00,12.632825
21,PM10,2026-04-15 21:00:00,12.899993
22,PM10,2026-04-15 22:00:00,13.14986
23,PM10,2026-04-15 23:00:00,13.384269
24,PM10,2026-04-16 00:00:00,13.613946
25,PM10,2026-04-16 01:00:00,13.853308
26,PM10,2026-04-16 02:00:00,14.012452
27,PM10,2026-04-16 03:00:00,14.098821
28,PM10,2026-04-16 04:00:00,14.197066
29,PM10,2026-04-16 05:00:00,14.292838
30,PM10,2026-04-16 06:00:00,14.236021
31,PM10,2026-04-16 07:00:00,14.013713
32,PM10,2026-04-16 08:00:00,13.806783
33,PM10,2026-04-16 09:00:00,13.593977
34,PM10,2026-04-16 10:00:00,13.451247
35,PM10,2026-04-16 11:00:00,13.380584
36,PM10,2026-04-16 12:00:00,13.301206
37,PM10,2026-04-16 13:00:00,13.242095
38,PM10,2026-04-16 14:00:00,13.150169
39,PM10,2026-04-16 15:00:00,13.067149
40,PM10,2026-04-16 16:00:00,12.972642
41,PM10,2026-04-16 17:00:00,12.8771715
42,PM10,2026-04-16 18:00:00,12.917442
43,PM10,2026-04-16 19:00:00,13.103893
44,PM10,2026-04-16 20:00:00,13.284177
45,PM10,2026-04-16 21:00:00,13.48323
46,PM10,2026-04-16 22:00:00,13.660878
47,PM10,2026-04-16 23:00:00,13.83073
48,PM10,2026-04-17 00:00:00,14.011281
49,PM10,2026-04-17 01:00:00,14.194423
50,PM10,2026-04-17 02:00:00,14.293184
51,PM10,2026-04-17 03:00:00,14.287558
52,PM10,2026-04-17 04:00:00,14.299496
53,PM10,2026-04-17 05:00:00,14.303981
54,PM10,2026-04-17 06:00:00,14.341421
55,PM10,2026-04-17 07:00:00,14.392888
56,PM10,2026-04-17 08:00:00,14.439472
57,PM10,2026-04-17 09:00:00,14.503602
58,PM10,2026-04-17 10:00:00,14.390824
59,PM10,2026-04-17 11:00:00,14.108299
60,PM10,2026-04-17 12:00:00,13.837598
61,PM10,2026-04-17 13:00:00,13.557413
62,PM10,2026-04-17 14:00:00,13.320076
63,PM10,2026-04-17 15:00:00,13.126744
64,PM10,2026-04-17 16:00:00,12.945691
65,PM10,2026-04-17 17:00:00,12.757056
66,PM10,2026-04-17 18:00:00,12.704068
67,PM10,2026-04-17 19:00:00,12.791326
68,PM10,2026-04-17 20:00:00,12.894735
69,PM10,2026-04-17 21:00:00,12.993841
70,PM10,2026-04-17 22:00:00,13.062615
71,PM10,2026-04-17 23:00:00,13.093
72,PM10,2026-04-18 00:00:00,13.141626
73,PM10,2026-04-18 01:00:00,13.171326
74,PM10,2026-04-18 02:00:00,13.165308
75,PM10,2026-04-18 03:00:00,13.123523
76,PM10,2026-04-18 04:00:00,13.08291
77,PM10,2026-04-18 05:00:00,13.053838
78,PM10,2026-04-18 06:00:00,13.017517
79,PM10,2026-04-18 07:00:00,12.949323
80,PM10,2026-04-18 08:00:00,12.898694
81,PM10,2026-04-18 09:00:00,12.850638
82,PM10,2026-04-18 10:00:00,12.792094
83,PM10,2026-04-18 11:00:00,12.708918
84,PM10,2026-04-18 12:00:00,12.637056
85,PM10,2026-04-18 13:00:00,12.573193
86,PM10,2026-04-18 14:00:00,12.547581
87,PM10,2026-04-18 15:00:00,12.558491
88,PM10,2026-04-18 16:00:00,12.5797205
89,PM10,2026-04-18 17:00:00,12.610932
90,PM10,2026-04-18 18:00:00,12.732601
91,PM10,2026-04-18 19:00:00,12.941471
92,PM10,2026-04-18 20:00:00,13.153789
93,PM10,2026-04-18 21:00:00,13.366992
94,PM10,2026-04-18 22:00:00,13.461379
95,PM10,2026-04-18 23:00:00,13.458208
