,unique_id,ds,NHITS
0,PM2.5,2026-04-15 00:00:00,11.433718
1,PM2.5,2026-04-15 01:00:00,11.434397
2,PM2.5,2026-04-15 02:00:00,11.434999
3,PM2.5,2026-04-15 03:00:00,11.442818
4,PM2.5,2026-04-15 04:00:00,11.464286
5,PM2.5,2026-04-15 05:00:00,11.501249
6,PM2.5,2026-04-15 06:00:00,11.487971
7,PM2.5,2026-04-15 07:00:00,11.427141
8,PM2.5,2026-04-15 08:00:00,11.369491
9,PM2.5,2026-04-15 09:00:00,11.312798
10,PM2.5,2026-04-15 10:00:00,11.263441
11,PM2.5,2026-04-15 11:00:00,11.225172
12,PM2.5,2026-04-15 12:00:00,11.189572
13,PM2.5,2026-04-15 13:00:00,11.159994
14,PM2.5,2026-04-15 14:00:00,11.143391
15,PM2.5,2026-04-15 15:00:00,11.150344
16,PM2.5,2026-04-15 16:00:00,11.159914
17,PM2.5,2026-04-15 17:00:00,11.178645
18,PM2.5,2026-04-15 18:00:00,11.275392
19,PM2.5,2026-04-15 19:00:00,11.458036
20,PM2.5,2026-04-15 20:00:00,11.6437
21,PM2.5,2026-04-15 21:00:00,11.842204
22,PM2.5,2026-04-15 22:00:00,11.998445
23,PM2.5,2026-04-15 23:00:00,12.112059
24,PM2.5,2026-04-16 00:00:00,12.235409
25,PM2.5,2026-04-16 01:00:00,12.366175
26,PM2.5,2026-04-16 02:00:00,12.433416
27,PM2.5,2026-04-16 03:00:00,12.448816
28,PM2.5,2026-04-16 04:00:00,12.457643
29,PM2.5,2026-04-16 05:00:00,12.478705
30,PM2.5,2026-04-16 06:00:00,12.434691
31,PM2.5,2026-04-16 07:00:00,12.316261
32,PM2.5,2026-04-16 08:00:00,12.209057
33,PM2.5,2026-04-16 09:00:00,12.109612
34,PM2.5,2026-04-16 10:00:00,11.964009
35,PM2.5,2026-04-16 11:00:00,11.773863
36,PM2.5,2026-04-16 12:00:00,11.593023
37,PM2.5,2026-04-16 13:00:00,11.417841
38,PM2.5,2026-04-16 14:00:00,11.310179
39,PM2.5,2026-04-16 15:00:00,11.289256
40,PM2.5,2026-04-16 16:00:00,11.278521
41,PM2.5,2026-04-16 17:00:00,11.257488
42,PM2.5,2026-04-16 18:00:00,11.234132
43,PM2.5,2026-04-16 19:00:00,11.212676
44,PM2.5,2026-04-16 20:00:00,11.197756
45,PM2.5,2026-04-16 21:00:00,11.19259
46,PM2.5,2026-04-16 22:00:00,11.270342
47,PM2.5,2026-04-16 23:00:00,11.42903
48,PM2.5,2026-04-17 00:00:00,11.592297
49,PM2.5,2026-04-17 01:00:00,11.773838
50,PM2.5,2026-04-17 02:00:00,11.870978
51,PM2.5,2026-04-17 03:00:00,11.882902
52,PM2.5,2026-04-17 04:00:00,11.905791
53,PM2.5,2026-04-17 05:00:00,11.92999
54,PM2.5,2026-04-17 06:00:00,11.911917
55,PM2.5,2026-04-17 07:00:00,11.85155
56,PM2.5,2026-04-17 08:00:00,11.795671
57,PM2.5,2026-04-17 09:00:00,11.738579
58,PM2.5,2026-04-17 10:00:00,11.692221
59,PM2.5,2026-04-17 11:00:00,11.659363
60,PM2.5,2026-04-17 12:00:00,11.638772
61,PM2.5,2026-04-17 13:00:00,11.616941
62,PM2.5,2026-04-17 14:00:00,11.578421
63,PM2.5,2026-04-17 15:00:00,11.503249
64,PM2.5,2026-04-17 16:00:00,11.440642
65,PM2.5,2026-04-17 17:00:00,11.386868
66,PM2.5,2026-04-17 18:00:00,11.365065
67,PM2.5,2026-04-17 19:00:00,11.373722
68,PM2.5,2026-04-17 20:00:00,11.389134
69,PM2.5,2026-04-17 21:00:00,11.409487
70,PM2.5,2026-04-17 22:00:00,11.502032
71,PM2.5,2026-04-17 23:00:00,11.670341
72,PM2.5,2026-04-18 00:00:00,11.845955
73,PM2.5,2026-04-18 01:00:00,12.031362
74,PM2.5,2026-04-18 02:00:00,12.101264
75,PM2.5,2026-04-18 03:00:00,12.04627
76,PM2.5,2026-04-18 04:00:00,11.982016
77,PM2.5,2026-04-18 05:00:00,11.930602
78,PM2.5,2026-04-18 06:00:00,11.874272
79,PM2.5,2026-04-18 07:00:00,11.78548
80,PM2.5,2026-04-18 08:00:00,11.70977
81,PM2.5,2026-04-18 09:00:00,11.629546
82,PM2.5,2026-04-18 10:00:00,11.545433
83,PM2.5,2026-04-18 11:00:00,11.446976
84,PM2.5,2026-04-18 12:00:00,11.346241
85,PM2.5,2026-04-18 13:00:00,11.2483635
86,PM2.5,2026-04-18 14:00:00,11.192756
87,PM2.5,2026-04-18 15:00:00,11.185484
88,PM2.5,2026-04-18 16:00:00,11.192446
89,PM2.5,2026-04-18 17:00:00,11.198864
90,PM2.5,2026-04-18 18:00:00,11.235168
91,PM2.5,2026-04-18 19:00:00,11.287728
92,PM2.5,2026-04-18 20:00:00,11.339268
93,PM2.5,2026-04-18 21:00:00,11.394789
94,PM2.5,2026-04-18 22:00:00,11.4402685
95,PM2.5,2026-04-18 23:00:00,11.440264
