,unique_id,y,lag24
0,NO2,9.8,4.1
1,NO2,7.8,4.0
2,NO2,4.0,4.1
3,NO2,4.4,4.4
4,NO2,3.7,4.7
5,NO2,3.8,4.8
6,NO2,4.3,4.9
7,NO2,6.0,5.1
8,NO2,8.5,5.6
9,NO2,7.8,5.7
10,NO2,7.0,5.7
11,NO2,6.2,5.6
12,NO2,5.8,5.9
13,NO2,3.8,6.2
14,NO2,4.0,7.0
15,NO2,5.5,7.9
16,NO2,6.0,8.1
17,NO2,5.6,8.8
18,NO2,5.3,8.8
19,NO2,5.9,10.0
20,NO2,7.2,9.8
21,NO2,11.0,11.1
22,NO2,13.1,12.5
23,NO2,13.9,11.4
24,NO2,13.7,4.1
25,NO2,12.8,4.0
26,NO2,11.7,4.1
27,NO2,11.9,4.4
28,NO2,10.6,4.7
29,NO2,10.0,4.8
30,NO2,10.0,4.9
31,NO2,11.3,5.1
32,NO2,12.4,5.6
33,NO2,12.5,5.7
34,NO2,10.4,5.7
35,NO2,9.4,5.6
36,NO2,8.3,5.9
37,NO2,7.6,6.2
38,NO2,7.9,7.0
39,NO2,7.8,7.9
40,NO2,9.2,8.1
41,NO2,10.6,8.8
42,NO2,11.2,8.8
43,NO2,12.9,10.0
44,NO2,15.0,9.8
45,NO2,16.9,11.1
46,NO2,18.9,12.5
47,NO2,21.0,11.4
48,NO2,23.3,4.1
49,NO2,25.3,4.0
50,NO2,19.8,4.1
51,NO2,16.3,4.4
52,NO2,15.2,4.7
53,NO2,17.1,4.8
54,NO2,19.9,4.9
55,NO2,21.5,5.1
56,NO2,19.7,5.6
57,NO2,18.7,5.7
58,NO2,17.2,5.7
59,NO2,15.7,5.6
60,NO2,10.0,5.9
61,NO2,7.0,6.2
62,NO2,5.4,7.0
63,NO2,5.5,7.9
64,NO2,6.0,8.1
65,NO2,6.6,8.8
66,NO2,7.2,8.8
67,NO2,7.9,10.0
68,NO2,8.5,9.8
69,NO2,9.8,11.1
70,NO2,12.6,12.5
71,NO2,14.0,11.4
72,NO2,12.5,4.1
73,NO2,12.8,4.0
74,NO2,14.3,4.1
75,NO2,13.3,4.4
76,NO2,13.1,4.7
77,NO2,12.6,4.8
78,NO2,13.0,4.9
79,NO2,13.8,5.1
80,NO2,14.4,5.6
81,NO2,12.3,5.7
82,NO2,10.4,5.7
83,NO2,9.8,5.6
84,NO2,9.4,5.9
85,NO2,9.4,6.2
86,NO2,9.3,7.0
87,NO2,8.9,7.9
88,NO2,8.3,8.1
89,NO2,8.5,8.8
90,NO2,9.3,8.8
91,NO2,9.9,10.0
92,NO2,10.7,9.8
93,NO2,11.6,11.1
94,NO2,10.7,12.5
95,NO2,10.2,11.4
