,unique_id,y,lag24
0,O3,57.0,81.0
1,O3,58.0,81.0
2,O3,59.0,76.0
3,O3,61.0,76.0
4,O3,61.0,75.0
5,O3,60.0,73.0
6,O3,62.0,69.0
7,O3,62.0,68.0
8,O3,59.0,67.0
9,O3,60.0,66.0
10,O3,64.0,66.0
11,O3,68.0,65.0
12,O3,68.0,65.0
13,O3,86.0,64.0
14,O3,92.0,63.0
15,O3,91.0,62.0
16,O3,90.0,60.0
17,O3,91.0,58.0
18,O3,92.0,57.0
19,O3,84.0,61.0
20,O3,83.0,61.0
21,O3,76.0,55.0
22,O3,79.0,55.0
23,O3,75.0,57.0
24,O3,72.0,81.0
25,O3,75.0,81.0
26,O3,73.0,76.0
27,O3,68.0,76.0
28,O3,67.0,75.0
29,O3,68.0,73.0
30,O3,64.0,69.0
31,O3,58.0,68.0
32,O3,63.0,67.0
33,O3,65.0,66.0
34,O3,65.0,66.0
35,O3,66.0,65.0
36,O3,76.0,65.0
37,O3,72.0,64.0
38,O3,73.0,63.0
39,O3,71.0,62.0
40,O3,72.0,60.0
41,O3,75.0,58.0
42,O3,77.0,57.0
43,O3,73.0,61.0
44,O3,65.0,61.0
45,O3,59.0,55.0
46,O3,54.0,55.0
47,O3,45.0,57.0
48,O3,39.0,81.0
49,O3,37.0,81.0
50,O3,36.0,76.0
51,O3,36.0,76.0
52,O3,32.0,75.0
53,O3,31.0,73.0
54,O3,26.0,69.0
55,O3,25.0,68.0
56,O3,26.0,67.0
57,O3,27.0,66.0
58,O3,31.0,66.0
59,O3,39.0,65.0
60,O3,54.0,65.0
61,O3,63.0,64.0
62,O3,77.0,63.0
63,O3,84.0,62.0
64,O3,86.0,60.0
65,O3,85.0,58.0
66,O3,84.0,57.0
67,O3,83.0,61.0
68,O3,80.0,61.0
69,O3,77.0,55.0
70,O3,74.0,55.0
71,O3,69.0,57.0
72,O3,64.0,81.0
73,O3,58.0,81.0
74,O3,53.0,76.0
75,O3,53.0,76.0
76,O3,45.0,75.0
77,O3,45.0,73.0
78,O3,45.0,69.0
79,O3,48.0,68.0
80,O3,51.0,67.0
81,O3,57.0,66.0
82,O3,60.0,66.0
83,O3,65.0,65.0
84,O3,66.0,65.0
85,O3,66.0,64.0
86,O3,68.0,63.0
87,O3,73.0,62.0
88,O3,72.0,60.0
89,O3,72.0,58.0
90,O3,72.0,57.0
91,O3,72.0,61.0
92,O3,67.0,61.0
93,O3,58.0,55.0
94,O3,51.0,55.0
95,O3,47.0,57.0
