,unique_id,y,lag24
0,PM10,15.6,12.8
1,PM10,16.9,12.2
2,PM10,17.0,11.3
3,PM10,17.9,11.0
4,PM10,17.5,11.3
5,PM10,17.7,11.6
6,PM10,16.6,9.9
7,PM10,16.1,10.2
8,PM10,15.8,10.1
9,PM10,14.2,9.9
10,PM10,13.4,10.4
11,PM10,13.9,10.3
12,PM10,14.4,9.4
13,PM10,14.0,9.6
14,PM10,13.6,9.5
15,PM10,15.3,10.3
16,PM10,14.4,10.5
17,PM10,18.2,10.7
18,PM10,19.9,10.6
19,PM10,20.9,12.1
20,PM10,20.0,10.5
21,PM10,18.7,11.1
22,PM10,16.6,12.6
23,PM10,16.0,13.0
24,PM10,15.7,12.8
25,PM10,14.3,12.2
26,PM10,14.7,11.3
27,PM10,12.5,11.0
28,PM10,11.9,11.3
29,PM10,12.2,11.6
30,PM10,12.7,9.9
31,PM10,13.0,10.2
32,PM10,14.5,10.1
33,PM10,13.8,9.9
34,PM10,13.1,10.4
35,PM10,14.0,10.3
36,PM10,11.9,9.4
37,PM10,15.2,9.6
38,PM10,13.5,9.5
39,PM10,14.5,10.3
40,PM10,16.5,10.5
41,PM10,17.8,10.7
42,PM10,17.5,10.6
43,PM10,17.0,12.1
44,PM10,17.2,10.5
45,PM10,16.9,11.1
46,PM10,18.2,12.6
47,PM10,17.2,13.0
48,PM10,20.0,12.8
49,PM10,22.9,12.2
50,PM10,21.8,11.3
51,PM10,22.6,11.0
52,PM10,20.9,11.3
53,PM10,20.8,11.6
54,PM10,22.0,9.9
55,PM10,23.4,10.2
56,PM10,23.9,10.1
57,PM10,24.2,9.9
58,PM10,23.9,10.4
59,PM10,22.5,10.3
60,PM10,21.1,9.4
61,PM10,19.4,9.6
62,PM10,18.3,9.5
63,PM10,18.1,10.3
64,PM10,18.9,10.5
65,PM10,18.1,10.7
66,PM10,17.1,10.6
67,PM10,17.0,12.1
68,PM10,18.3,10.5
69,PM10,19.5,11.1
70,PM10,19.9,12.6
71,PM10,20.1,13.0
72,PM10,21.2,12.8
73,PM10,22.7,12.2
74,PM10,23.8,11.3
75,PM10,23.4,11.0
76,PM10,26.0,11.3
77,PM10,28.5,11.6
78,PM10,27.7,9.9
79,PM10,22.5,10.2
80,PM10,16.5,10.1
81,PM10,13.4,9.9
82,PM10,13.4,10.4
83,PM10,13.2,10.3
84,PM10,12.8,9.4
85,PM10,12.7,9.6
86,PM10,12.2,9.5
87,PM10,10.8,10.3
88,PM10,11.2,10.5
89,PM10,11.8,10.7
90,PM10,12.1,10.6
91,PM10,12.1,12.1
92,PM10,11.6,10.5
93,PM10,11.5,11.1
94,PM10,11.7,12.6
95,PM10,11.7,13.0
