,unique_id,y,lag24
0,PM2.5,13.8,7.6
1,PM2.5,13.3,7.9
2,PM2.5,13.6,6.8
3,PM2.5,15.6,6.6
4,PM2.5,15.0,6.5
5,PM2.5,11.9,7.1
6,PM2.5,10.0,6.9
7,PM2.5,9.5,7.0
8,PM2.5,10.5,7.0
9,PM2.5,11.3,7.2
10,PM2.5,10.5,7.4
11,PM2.5,9.4,7.6
12,PM2.5,9.3,7.5
13,PM2.5,10.4,7.7
14,PM2.5,10.1,7.8
15,PM2.5,10.0,8.2
16,PM2.5,11.9,8.4
17,PM2.5,14.4,8.6
18,PM2.5,14.8,8.9
19,PM2.5,15.3,9.4
20,PM2.5,14.2,9.1
21,PM2.5,12.9,9.8
22,PM2.5,12.7,10.4
23,PM2.5,11.5,11.3
24,PM2.5,10.2,7.6
25,PM2.5,11.7,7.9
26,PM2.5,11.2,6.8
27,PM2.5,9.9,6.6
28,PM2.5,9.5,6.5
29,PM2.5,9.6,7.1
30,PM2.5,10.9,6.9
31,PM2.5,11.2,7.0
32,PM2.5,11.3,7.0
33,PM2.5,10.7,7.2
34,PM2.5,11.1,7.4
35,PM2.5,11.9,7.6
36,PM2.5,10.9,7.5
37,PM2.5,11.4,7.7
38,PM2.5,11.9,7.8
39,PM2.5,12.9,8.2
40,PM2.5,14.5,8.4
41,PM2.5,15.3,8.6
42,PM2.5,16.0,8.9
43,PM2.5,14.8,9.4
44,PM2.5,15.0,9.1
45,PM2.5,14.5,9.8
46,PM2.5,14.9,10.4
47,PM2.5,15.2,11.3
48,PM2.5,17.3,7.6
49,PM2.5,21.3,7.9
50,PM2.5,18.6,6.8
51,PM2.5,18.6,6.6
52,PM2.5,16.9,6.5
53,PM2.5,16.8,7.1
54,PM2.5,18.6,6.9
55,PM2.5,20.4,7.0
56,PM2.5,21.0,7.0
57,PM2.5,21.2,7.2
58,PM2.5,20.6,7.4
59,PM2.5,18.0,7.6
60,PM2.5,14.1,7.5
61,PM2.5,11.6,7.7
62,PM2.5,10.9,7.8
63,PM2.5,11.4,8.2
64,PM2.5,11.8,8.4
65,PM2.5,11.5,8.6
66,PM2.5,10.9,8.9
67,PM2.5,10.6,9.4
68,PM2.5,11.1,9.1
69,PM2.5,11.5,9.8
70,PM2.5,12.4,10.4
71,PM2.5,13.8,11.3
72,PM2.5,15.3,7.6
73,PM2.5,16.9,7.9
74,PM2.5,17.1,6.8
75,PM2.5,20.6,6.6
76,PM2.5,21.4,6.5
77,PM2.5,20.4,7.1
78,PM2.5,24.3,6.9
79,PM2.5,18.7,7.0
80,PM2.5,15.2,7.0
81,PM2.5,11.3,7.2
82,PM2.5,9.8,7.4
83,PM2.5,10.4,7.6
84,PM2.5,10.4,7.5
85,PM2.5,9.9,7.7
86,PM2.5,9.6,7.8
87,PM2.5,9.7,8.2
88,PM2.5,10.1,8.4
89,PM2.5,10.3,8.6
90,PM2.5,10.4,8.9
91,PM2.5,10.4,9.4
92,PM2.5,10.4,9.1
93,PM2.5,10.4,9.8
94,PM2.5,10.6,10.4
95,PM2.5,11.0,11.3
